<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.05.18	42.05	45.00	38.00	38.42	86727	0	0
2012.05.21	38.00	38.50	33.00	33.78	11042	0	0
2012.05.22	33.78	34.30	30.49	30.50	11237	0	0
2012.05.23	30.61	32.50	30.00	32.10	10191	0	0
2012.05.24	32.05	33.24	31.77	32.82	5827	0	0
2012.05.25	33.20	33.44	31.11	31.34	5076	0	0
2012.05.29	31.88	31.88	28.54	28.78	7219	0	0
2012.05.30	28.60	29.55	27.86	28.17	6894	0	0
2012.05.31	28.40	29.67	26.83	29.34	7836	0	0
2012.06.01	29.35	29.63	27.39	27.73	7141	0	0
2012.06.04	27.50	27.99	26.44	26.87	5849	0	0
2012.06.05	26.87	27.76	25.75	25.89	5351	0	0
2012.06.06	25.86	27.17	25.52	26.88	6479	0	0
2012.06.07	26.95	27.35	26.15	26.33	5142	0	0
2012.06.08	26.09	27.76	26.00	27.27	4980	0	0
2012.06.11	27.35	28.07	26.84	27.10	4948	0	0
2012.06.12	27.19	27.77	26.96	27.40	3460	0	0
2012.06.13	27.66	28.10	27.10	27.39	3052	0	0
2012.06.14	27.49	28.32	27.12	28.23	2810	0	0
2012.06.15	28.40	30.10	28.33	29.90	4116	0	0
2012.06.18	30.01	32.08	29.41	31.48	6523	0	0
2012.06.19	31.37	32.18	30.70	31.89	4491	0	0
2012.06.20	31.92	32.02	31.15	31.61	3564	0	0
2012.06.21	31.60	32.50	31.27	31.95	3795	0	0
2012.06.22	31.85	33.45	31.85	33.02	5361	0	0
2012.06.25	32.99	33.02	31.55	32.15	4267	0	0
2012.06.26	32.23	33.44	32.09	33.33	4463	0	0
2012.06.27	33.50	34.27	31.90	32.23	5057	0	0
2012.06.28	32.05	32.19	30.90	31.02	3890	0	0
2012.06.29	31.51	32.00	30.76	31.16	3650	0	0
2012.07.02	31.29	31.73	30.55	30.72	3136	0	0
2012.07.03	30.53	31.44	30.53	31.24	1806	0	0
2012.07.05	30.92	31.63	30.92	31.41	2340	0	0
